City,State,Zip input,Miles,Roundtrip miles,RPM,Base rate,Fuel (32%),Linehaul + FSC
MOUNT SHASTA,CA,96067,56,112,4.225978648,473.3096085,151.4590747,624.7686833
COSTA MESA,CA,92627,56.3,112.6,4.225978648,475.8451957,152.2704626,628.1156584
HUNTINGTON BEACH,CA,92615,56.5,113,4.225978648,477.5355872,152.8113879,630.3469751
NEWPORT BEACH,CA,92662,56.8,113.6,4.225978648,480.0711744,153.6227758,633.6939502
LINCOLN,CA,95648,56.9,113.8,4.225978648,480.9163701,153.8932384,634.8096085
HUNTINGTON BEACH,CA,92647,57.3,114.6,4.08777969,468.4595525,149.9070568,618.3666093
ORANGE,CA,92859,57.3,114.6,4.08777969,468.4595525,149.9070568,618.3666093
ARCADIA,CA,91006,57.7,115.4,4.08777969,471.7297762,150.9535284,622.6833046
ARLETA,CA,91331,58.3,116.6,4.08777969,476.6351119,152.5232358,629.1583477
IRVINE,CA,92616,59.1,118.2,3.998316498,472.6010101,151.2323232,623.8333333
DUARTE,CA,91010,59.5,119,3.998316498,475.7996633,152.2558923,628.0555556
NEWBURY PARK,CA,91320,59.5,119,3.998316498,475.7996633,152.2558923,628.0555556
ENCINO,CA,91316,59.5,119,3.998316498,475.7996633,152.2558923,628.0555556
WASHINGTON,CA,95986,60.5,121,4.021558872,486.6086235,155.7147595,642.3233831
ONTARIO,CA,91762,60.9,121.8,3.968903437,483.4124386,154.6919804,638.104419
GLENDALE,CA,91205,61.1,122.2,3.968903437,485,155.2,640.2
BUENA PARK,CA,90622,61.9,123.8,3.873801917,479.5766773,153.4645367,633.0412141
LAGUNA BEACH,CA,92652,62.3,124.6,3.873801917,482.6757188,154.45623,637.1319489
MONROVIA,CA,91016,62.4,124.8,3.873801917,483.4504792,154.7041534,638.1546326
HAT CREEK,CA,96040,62.4,124.8,3.873801917,483.4504792,154.7041534,638.1546326
RIO DELL,CA,95562,63.4,126.8,3.818897638,484.2362205,154.9555906,639.191811
COBB,CA,95426,64.5,129,3.759689922,485,155.2,640.2
MC KITTRICK,CA,93251,65.1,130.2,3.759689922,489.5116279,156.6437209,646.1553488
ANDERSON,CA,96007,65.4,130.8,3.733031674,488.280543,156.2497738,644.5303167
SILVERADO,CA,92676,66.4,132.8,3.721804511,494.2556391,158.1618045,652.4174436
WHITETHORN,CA,95589,66.7,133.4,3.721804511,496.4887218,158.876391,655.3651128
SUGARLOAF,CA,92386,66.8,133.6,3.69955157,494.2600897,158.1632287,652.4233184
SANTA PAULA,CA,93060,67.2,134.4,3.69955157,497.2197309,159.1103139,656.3300448
HELENDALE,CA,92342,67.2,134.4,3.69955157,497.2197309,159.1103139,656.3300448
NEWHALL,CA,91321,67.6,135.2,3.69955157,500.1793722,160.0573991,660.2367713
IGO,CA,96047,68.8,137.6,3.592162554,494.2815675,158.1701016,652.4516691
RIALTO,CA,92376,68.8,137.6,3.592162554,494.2815675,158.1701016,652.4516691
MT BALDY,CA,91759,69.6,139.2,3.642857143,507.0857143,162.2674286,669.3531429
BIG BEAR LAKE,CA,92315,69.8,139.6,3.642857143,508.5428571,162.7337143,671.2765714
BELL GARDENS,CA,90201,69.9,139.8,3.642857143,509.2714286,162.9668571,672.2382857
LYNWOOD,CA,90262,69.9,139.8,3.642857143,509.2714286,162.9668571,672.2382857
MALIBU,CA,90265,69.9,139.8,3.642857143,509.2714286,162.9668571,672.2382857
DESERT CENTER,CA,92239,72,144,3.591549296,517.1830986,165.4985915,682.6816901
REDLANDS,CA,92373,72.3,144.6,3.591549296,519.3380282,166.188169,685.5261972
DEATH VALLEY,CA,92328,72.3,144.6,3.591549296,519.3380282,166.188169,685.5261972
TULARE,CA,93274,72.4,144.8,3.591549296,520.056338,166.4180282,686.4743662
WILDOMAR,CA,92595,72.4,144.8,3.591549296,520.056338,166.4180282,686.4743662
CALIMESA,CA,92320,72.8,145.6,3.450608931,502.4086604,160.7707713,663.1794317
SIMI VALLEY,CA,93065,73.7,147.4,3.450608931,508.6197564,162.7583221,671.3780785
BORREGO SPRINGS,CA,92004,74.1,148.2,3.450608931,511.3802436,163.6416779,675.0219215
MOUNTAIN MESA,CA,93240,75.2,150.4,3.452855246,519.309429,166.1790173,685.4884462
ORO GRANDE,CA,92368,75.2,150.4,3.452855246,519.309429,166.1790173,685.4884462
OJAI,CA,93023,75.2,150.4,3.452855246,519.309429,166.1790173,685.4884462
SURFSIDE,CA,90743,76,152,3.430079156,521.3720317,166.8390501,688.2110818
SUSANVILLE,CA,96130,76.1,152.2,3.407601573,518.6369594,165.963827,684.6007864
MOUNTAIN CENTER,CA,92561,77.2,154.4,3.39869281,524.7581699,167.9226144,692.6807843
LEONA VALLEY,CA,93551,77.4,154.8,3.39869281,526.1176471,168.3576471,694.4752941
SAN DIEGO,CA,92129,78,156,3.312101911,516.6878981,165.3401274,682.0280255
ONYX,CA,93255,78.4,156.8,3.312101911,519.3375796,166.1880255,685.5256051
RIVERSIDE,CA,92504,78.6,157.2,3.307888041,520,166.4,686.4
TEMECULA,CA,92590,79.3,158.6,3.266331658,518.040201,165.7728643,683.8130653
MURRIETA,CA,92563,79.3,158.6,3.266331658,518.040201,165.7728643,683.8130653
NEEDLES,CA,92363,80.3,160.6,3.370786517,541.3483146,173.2314607,714.5797753
MARCH AIR RESERVE BASE,CA,92518,80.3,160.6,3.370786517,541.3483146,173.2314607,714.5797753
CARLSBAD,CA,92008,80.7,161.4,3.341584158,539.3316832,172.5861386,711.9178218
MURPHYS,CA,95247,80.8,161.6,3.341584158,540,172.8,712.8
LAKESIDE,CA,92040,80.9,161.8,3.341584158,540.6683168,173.0138614,713.6821782
REDLANDS,CA,92373,80.9,161.8,3.341584158,540.6683168,173.0138614,713.6821782
BLUE JAY,CA,92317,81,162,3.329223181,539.3341554,172.5869297,711.9210851
LEBEC,CA,93243,81,162,3.329223181,539.3341554,172.5869297,711.9210851
HEMET,CA,92544,82.1,164.2,3.292682927,540.6585366,173.0107317,713.6692683
SAN DIEGO,CA,92122,82.6,165.2,3.260869565,538.6956522,172.3826087,711.0782609
SAN BERNARDINO,CA,92401,82.6,165.2,3.260869565,538.6956522,172.3826087,711.0782609
BELLFLOWER,CA,90706,82.8,165.6,3.260869565,540,172.8,712.8
SAN DIEGO,CA,92111,82.9,165.8,3.253012048,539.3493976,172.5918072,711.9412048
CRESTLINE,CA,92325,82.9,165.8,3.253012048,539.3493976,172.5918072,711.9412048
MENIFEE,CA,92585,83.6,167.2,3.214285714,537.4285714,171.9771429,709.4057143
IDYLLWILD,CA,92549,83.8,167.6,3.214285714,538.7142857,172.3885714,711.1028571
BARD,CA,92222,83.9,167.8,3.214285714,539.3571429,172.5942857,711.9514286
LANCASTER,CA,93536,84,168,3.214285714,540,172.8,712.8
PIRU,CA,93040,85,170,3.183962264,541.2735849,173.2075472,714.4811321
BARSTOW,CA,92311,86,172,3.219257541,553.712297,177.187935,730.900232
